LAST SEEN   TYPE      REASON                          OBJECT                                             MESSAGE
21m         Normal    Pulling                         pod/adaptation-service-fc5f75457-nfn29             Pulling image "glasswallsolutions/icap-adaptation-service:main-1d8a40a"
21m         Normal    Pulled                          pod/adaptation-service-fc5f75457-nfn29             Successfully pulled image "glasswallsolutions/icap-adaptation-service:main-1d8a40a"
21m         Normal    Created                         pod/adaptation-service-fc5f75457-nfn29             Created container adaptation-service
21m         Normal    Started                         pod/adaptation-service-fc5f75457-nfn29             Started container adaptation-service
6m11s       Normal    Killing                         pod/adaptation-service-fc5f75457-nfn29             Stopping container adaptation-service
21m         Normal    Scheduled                       pod/adaptation-service-fc5f75457-ntg66             Successfully assigned icap-adaptation/adaptation-service-fc5f75457-ntg66 to aks-icaptestnode-10971123-vmss00001q
21m         Normal    Pulling                         pod/adaptation-service-fc5f75457-ntg66             Pulling image "glasswallsolutions/icap-adaptation-service:main-1d8a40a"
21m         Normal    Pulled                          pod/adaptation-service-fc5f75457-ntg66             Successfully pulled image "glasswallsolutions/icap-adaptation-service:main-1d8a40a"
21m         Normal    Created                         pod/adaptation-service-fc5f75457-ntg66             Created container adaptation-service
21m         Normal    Started                         pod/adaptation-service-fc5f75457-ntg66             Started container adaptation-service
6m6s        Normal    Killing                         pod/adaptation-service-fc5f75457-ntg66             Stopping container adaptation-service
21m         Normal    Scheduled                       pod/adaptation-service-fc5f75457-p5sdp             Successfully assigned icap-adaptation/adaptation-service-fc5f75457-p5sdp to aks-icaptestnode-10971123-vmss000004
21m         Normal    Pulling                         pod/adaptation-service-fc5f75457-p5sdp             Pulling image "glasswallsolutions/icap-adaptation-service:main-1d8a40a"
21m         Normal    Pulled                          pod/adaptation-service-fc5f75457-p5sdp             Successfully pulled image "glasswallsolutions/icap-adaptation-service:main-1d8a40a"
21m         Normal    Created                         pod/adaptation-service-fc5f75457-p5sdp             Created container adaptation-service
21m         Normal    Started                         pod/adaptation-service-fc5f75457-p5sdp             Started container adaptation-service
6m8s        Normal    Killing                         pod/adaptation-service-fc5f75457-p5sdp             Stopping container adaptation-service
21m         Normal    Scheduled                       pod/adaptation-service-fc5f75457-pqpqb             Successfully assigned icap-adaptation/adaptation-service-fc5f75457-pqpqb to aks-icaptestnode-10971123-vmss00000v
21m         Normal    Pulling                         pod/adaptation-service-fc5f75457-pqpqb             Pulling image "glasswallsolutions/icap-adaptation-service:main-1d8a40a"
21m         Normal    Pulled                          pod/adaptation-service-fc5f75457-pqpqb             Successfully pulled image "glasswallsolutions/icap-adaptation-service:main-1d8a40a"
21m         Normal    Created                         pod/adaptation-service-fc5f75457-pqpqb             Created container adaptation-service
21m         Normal    Started                         pod/adaptation-service-fc5f75457-pqpqb             Started container adaptation-service
6m12s       Normal    Killing                         pod/adaptation-service-fc5f75457-pqpqb             Stopping container adaptation-service
21m         Normal    Scheduled                       pod/adaptation-service-fc5f75457-q97gm             Successfully assigned icap-adaptation/adaptation-service-fc5f75457-q97gm to aks-icaptestnode-10971123-vmss00001i
21m         Normal    Pulling                         pod/adaptation-service-fc5f75457-q97gm             Pulling image "glasswallsolutions/icap-adaptation-service:main-1d8a40a"
21m         Normal    Pulled                          pod/adaptation-service-fc5f75457-q97gm             Successfully pulled image "glasswallsolutions/icap-adaptation-service:main-1d8a40a"
